Date,Open,High,Low,Close,Adj Close,Volume
2024-01-22,148.71,150.01,147.58,147.71,147.01,21829200
2024-01-19,146.30,148.04,145.80,147.97,147.27,27170900
2024-01-18,143.44,145.59,143.35,144.99,144.31,18876800
2024-01-17,142.91,143.41,140.51,142.89,142.22,17884500
2024-01-16,143.43,145.84,143.06,144.08,143.40,19198900
2024-01-12,144.34,144.74,143.36,144.24,143.56,13995200
2024-01-11,144.90,146.66,142.21,143.67,142.99,17471100
2024-01-10,142.52,144.52,142.46,143.80,143.12,16641900
2024-01-09,140.06,142.80,139.79,142.56,141.89,19579700
2024-01-08,138.00,140.64,137.88,140.53,139.87,17645300
2024-01-05,138.35,138.81,136.85,137.39,136.74,15433200
2024-01-04,139.85,140.63,138.01,138.04,137.39,18253300
2024-01-03,138.60,141.09,138.43,140.36,139.70,18974300
2024-01-02,139.60,140.62,137.74,139.56,138.90,20071900
2023-12-29,140.68,141.43,139.90,140.93,140.27,14872700
2023-12-28,141.85,142.27,140.83,141.28,140.61,12192500
2023-12-27,142.83,143.32,141.05,141.44,140.77,17288400
2023-12-26,142.98,143.95,142.50,142.82,142.15,11170100
2023-12-22,142.13,143.25,142.05,142.72,142.05,18494700
2023-12-21,140.77,142.03,140.47,141.80,141.13,18101500
2023-12-20,140.33,143.08,139.41,139.66,139.00,33507300
2023-12-19,138.00,138.77,137.45,138.10,137.45,20661000
2023-12-18,133.86,138.38,133.77,137.19,136.54,25699800
2023-12-15,132.92,134.83,132.63,133.84,133.21,58569400
2023-12-14,134.77,135.04,131.06,133.20,132.57,29619100
2023-12-13,134.54,134.78,132.95,133.97,133.34,25414500
2023-12-12,133.27,134.54,132.83,133.64,133.01,26584000
2023-12-11,133.82,134.79,132.89,134.70,134.06,24502900
2023-12-08,135.66,137.99,135.57,136.64,136.00,22990900
2023-12-07,136.60,140.00,136.23,138.45,137.80,38419400
2023-12-06,132.90,133.31,131.31,131.43,130.81,16360600
2023-12-05,130.37,133.54,129.73,132.39,131.77,19235100
2023-12-04,131.29,131.45,129.40,130.63,130.01,24117100
2023-12-01,133.32,133.50,132.15,133.32,132.69,24258400
2023-11-30,136.40,136.96,132.79,133.92,133.29,29913500
2023-11-29,138.99,139.67,136.29,136.40,135.76,21014700
2023-11-28,137.63,138.66,137.04,138.62,137.97,17046900
2023-11-27,137.57,139.63,137.54,138.05,137.40,17886400
2023-11-24,139.54,139.68,137.47,138.22,137.57,8828600
2023-11-22,139.10,141.10,139.00,140.02,139.36,17306400
2023-11-21,137.94,138.96,137.71,138.62,137.97,17648100
2023-11-20,135.50,138.43,135.49,137.92,137.27,19569400
2023-11-17,137.82,138.00,135.48,136.94,136.29,25565300
2023-11-16,136.96,138.88,136.08,138.70,138.05,17615100
2023-11-15,136.64,136.84,135.33,136.38,135.74,15840900
2023-11-14,135.65,137.24,135.10,135.43,134.79,22317300
2023-11-13,133.36,134.11,132.77,133.64,133.01,16409900
2023-11-10,131.53,134.27,130.87,134.06,133.43,20872900
2023-11-09,133.36,133.96,131.51,131.69,131.07,17976500
2023-11-08,132.36,133.54,132.16,133.26,132.63,15093600
2023-11-07,131.98,133.28,131.14,132.40,131.78,19223800
2023-11-06,130.22,131.56,129.93,131.45,130.83,15360400
2023-11-03,129.09,130.73,129.01,130.37,129.76,19517900
2023-11-02,129.56,130.09,128.11,128.58,127.97,24091700
2023-11-01,125.34,127.74,124.93,127.57,126.97,26536600
2023-10-31,126.27,126.56,123.93,125.30,124.71,21123400
2023-10-30,124.46,126.55,123.88,125.75,125.16,24165600
2023-10-27,124.03,124.44,121.46,123.40,122.82,37367700
2023-10-26,124.47,125.46,122.32,123.44,122.86,33907400
2023-10-25,129.77,130.10,126.09,126.67,126.07,58796100
2023-10-24,139.16,140.71,138.75,140.12,139.46,26535200
2023-10-23,136.23,139.02,135.11,137.90,137.25,20780700
2023-10-20,138.59,139.04,136.24,136.74,136.10,24953900
2023-10-19,139.80,141.01,138.60,138.98,138.32,21831200
2023-10-18,140.75,141.99,138.71,139.28,138.62,18304900
2023-10-17,140.03,141.25,138.53,140.99,140.33,17424000
2023-10-16,139.73,140.90,139.32,140.49,139.83,17345600
2023-10-13,140.65,141.34,137.97,138.58,137.93,19438700
2023-10-12,142.16,142.38,139.45,140.29,139.63,18173100
2023-10-11,139.85,142.22,139.84,141.70,141.03,20146300
2023-10-10,139.51,140.74,138.43,139.20,138.54,19554900
2023-10-09,137.99,139.97,136.70,139.50,138.84,16599100
2023-10-06,134.94,139.19,134.94,138.73,138.08,20819300
2023-10-05,136.13,136.50,134.46,135.99,135.35,15922900
2023-10-04,133.66,136.57,133.43,136.27,135.63,22848000
2023-10-03,134.93,135.24,132.82,133.30,132.67,19628700
2023-10-02,132.15,135.36,132.07,135.17,134.53,19210400
2023-09-29,134.08,134.89,131.32,131.85,131.23,23224200
2023-09-28,130.69,134.18,130.69,133.13,132.50,18201400
2023-09-27,129.44,131.72,129.38,131.46,130.84,18764200
2023-09-26,130.91,131.40,128.19,129.45,128.84,20378800
2023-09-25,130.77,132.22,130.03,132.17,131.55,14650000
2023-09-22,131.68,133.01,130.51,131.25,130.63,17348700
2023-09-21,132.39,133.19,131.09,131.36,130.74,22042700
2023-09-20,138.83,138.84,134.52,134.59,133.96,21473500
2023-09-19,138.25,139.18,137.50,138.83,138.18,15479100
2023-09-18,137.63,139.93,137.63,138.96,138.30,16233600
2023-09-15,138.80,139.36,137.18,138.30,137.65,48947600
2023-09-14,138.39,139.55,137.06,138.99,138.33,19064600
2023-09-13,135.90,137.70,134.93,137.50,136.85,16394900
2023-09-12,137.13,137.64,135.93,136.07,135.43,15212900
2023-09-11,137.38,138.26,136.55,137.74,137.09,17180800
2023-09-08,135.87,137.51,135.87,137.20,136.55,17810700
2023-09-07,134.60,136.58,133.96,136.20,135.56,16976000
2023-09-06,137.01,137.48,134.69,135.37,134.73,15814300
2023-09-05,136.44,137.37,135.56,136.71,136.07,17730200
2023-09-01,138.43,138.58,135.94,136.80,136.16,16665700
2023-08-31,137.05,138.40,136.82,137.35,136.70,28147900
2023-08-30,135.57,137.25,135.02,136.93,136.28,21773400
2023-08-29,133.00,137.29,132.98,135.49,134.85,30803300
2023-08-28,132.08,133.24,130.85,131.79,131.17,16715500
2023-08-25,130.14,131.40,128.04,130.69,130.07,20678100
2023-08-24,134.73,134.97,130.30,130.42,129.81,18680400
2023-08-23,130.85,134.07,130.51,133.21,132.58,26497000
2023-08-22,129.13,130.95,128.93,129.69,129.08,15569400
2023-08-21,127.85,129.26,127.16,128.93,128.32,21851100
2023-08-18,129.06,129.83,127.00,128.11,127.51,23619400
2023-08-17,130.45,132.49,129.85,130.46,129.85,23665600
2023-08-16,129.28,130.90,128.46,129.11,128.50,17548400
2023-08-15,131.59,131.99,129.82,130.27,129.66,14769200
2023-08-14,129.85,131.91,129.59,131.83,131.21,17526200
2023-08-11,129.20,130.44,128.75,130.17,129.56,15191500
2023-08-10,131.97,132.65,130.04,130.21,129.60,17855700
2023-08-09,132.19,132.47,129.51,130.15,129.54,17745200
2023-08-08,130.98,131.94,130.13,131.84,131.22,16836000
2023-08-07,129.51,132.06,129.43,131.94,131.32,17621000
2023-08-04,129.60,131.93,128.32,128.54,127.93,20509500
2023-08-03,128.37,129.77,127.78,128.77,128.16,15018100
2023-08-02,129.84,130.42,127.85,128.64,128.03,22705800
2023-08-01,130.85,132.92,130.75,131.89,131.27,22154300
2023-07-31,133.01,133.83,132.13,133.11,132.48,18381900
2023-07-28,130.97,134.07,130.92,133.01,132.38,26971000
2023-07-27,131.80,133.60,129.18,129.87,129.26,35931600
2023-07-26,130.36,131.37,128.71,129.66,129.05,46216900
2023-07-25,121.88,123.69,121.53,122.79,122.21,31820800
2023-07-24,121.93,123.35,121.38,121.88,121.31,22276100
2023-07-21,120.87,121.30,119.07,120.31,119.74,56498100
2023-07-20,122.12,124.70,118.68,119.53,118.97,27541700
2023-07-19,124.79,125.47,122.47,122.78,122.20,22313800
2023-07-18,124.90,124.99,123.30,124.08,123.50,21071200
2023-07-17,126.06,127.28,124.50,125.06,124.47,20675300
2023-07-14,125.13,127.09,124.90,125.70,125.11,20482800
2023-07-13,121.54,125.33,121.06,124.83,124.24,31535900
